Investor,Year,TotalInvested_USD,DealsCount
Poshika Financial Ecosystem,2017.0,0.0,0
Prabhat Aggarwal,2016.0,0.0,0
Pradeep Dhobale,2016.0,0.0,0
Madhusudan E,2017.0,0.0,0
Madhusudhan Jujare & Others,2016.0,0.0,0
Madhusudhan Kannan,2018.0,0.0,0
SD Group,2017.0,0.0,0
SD Ventures,2016.0,0.0,0
Mahavir Pratap Sharma,2016.0,0.0,0
Mahavir Sharma,2017.0,0.0,0
Karan Chellani,2016.0,0.0,0
Karan Chellani,2017.0,0.0,0
Karan Maheshwari,2015.0,0.0,0
Karthee Madasamay,2015.0,0.0,0
Rhea Vazirani,2017.0,0.0,0
Saavn,2016.0,0.0,0
SF Capital Investments LP,2017.0,0.0,0
SIDBI,2017.0,0.0,0
SP Vijay,2016.0,0.0,0
SSCBS Innovation,2017.0,0.0,0
SVG Media,2016.0,0.0,0
JMR Infotech India Pvt Ltd,2015.0,0.0,0
JSW Ventures,2017.0,0.0,0
Jaarvis Accelerator,2017.0,0.0,0
Jacqueline Fernandez,2017.0,0.0,0
Jagdish Kumar,2016.0,0.0,0
Jaideep Mehta,2016.0,0.0,0
Jaikumar Nair,2016.0,0.0,0
Jairaj Singh,2015.0,0.0,0
Jamil Khatri,2017.0,0.0,0
Jan Manten,2015.0,0.0,0
Saina Nehwal,2015.0,0.0,0
Salil Donde,2017.0,0.0,0
SVP Fly Dubai & Others,2015.0,0.0,0
Amadeus Capital,2016.0,0.0,0
Amajit Gupta,2017.0,0.0,0
Amanpreet Bajaj,2015.0,0.0,0
Amaya Capital LLP,2017.0,0.0,0
Investors from Mumbai Angels & LetsVenture,2016.0,0.0,0
Ishan Manaktala,2017.0,0.0,0
Ishwar Singh,2017.0,0.0,0
IvyCamp Ventures,2016.0,0.0,0
IvyCamp Ventures,2017.0,0.0,0
IvyCap Ventures and Unicorn India Ventures,2016.0,0.0,0
J.P. Bhatt,2017.0,0.0,0
JM Financial Products Ltd,2016.0,0.0,0
JM Financials and MEMG,2018.0,0.0,0
Reliance Entertainment,2016.0,0.0,0
Sandeep Dama & Others,2015.0,0.0,0
Sandeep Pangal,2017.0,0.0,0
Sandeep Shroff,2017.0,0.0,0
InsuResillience Investment Fund,2017.0,0.0,0
Sachin Arora,2017.0,0.0,0
Sachin Dalal,2016.0,0.0,0
Sachin Tendulkar,2016.0,0.0,0
Sadashiva NT,2017.0,0.0,0
Aparup Sengupta,2017.0,0.0,0
Intelli Reboot Digital Pvt. Ltd,2016.0,0.0,0
Intex Technologies,2017.0,0.0,0
Inventus Capital,2015.0,0.0,0
Inventus Capital Partners,2016.0,0.0,0
Investopad,2016.0,0.0,0
Investopad,2018.0,0.0,0
Samir Shah,2015.0,0.0,0
Samir Shah,2016.0,0.0,0
Samsung and China-based CITIC Capital and others,2018.0,0.0,0
Sandeep Aggarwal,2015.0,0.0,0
Sandeep Aggarwal,2017.0,0.0,0
Rishi Khiani,2015.0,0.0,0
Rishi Mandawat,2016.0,0.0,0
Kalpana Tatavarti,2015.0,0.0,0
Kamal Bansal,2015.0,0.0,0
Kamal Kothari,2016.0,0.0,0
Kashyap Deorah,2017.0,0.0,0
KellyGamma,2016.0,0.0,0
Keshav Sanghi,2017.0,0.0,0
Recruit Holdings,2018.0,0.0,0
Redcliffe Capital,2015.0,0.0,0
Redcliffe Capital,2017.0,0.0,0
Sanjay Sethi,2015.0,0.0,0
Sanjay Shenoy,2017.0,0.0,0
Anupam Mittal & other marquee investors,2015.0,0.0,0
Anupam Mittal & others,2015.0,0.0,0
Anupam Tyagi,2017.0,0.0,0
Anurag Chauhan,2016.0,0.0,0
Anurag Gupta,2016.0,0.0,0
Innov8 founder Ritesh Malik,2019.0,0.0,0
Sandeep Singh,2017.0,0.0,0
Sandesh Kirkire,2017.0,0.0,0
Sandway Investment Ltd,2017.0,0.0,0
Mandeep Singh,2015.0,0.0,0
Mangrove Capital Partners,2015.0,0.0,0
Maninder Gulati,2016.0,0.0,0
Manipal Global Education Services,2016.0,0.0,0
Manish Amin,2017.0,0.0,0
Inflexionpoint,2015.0,0.0,0
Paras Arora,2017.0,0.0,0
Parth Jindal,2016.0,0.0,0
Parvesh Bareja,2015.0,0.0,0
Patni Family Office,2015.0,0.0,0
Patni family office and Axis Capital.,2018.0,0.0,0
Manish Gupta,2015.0,0.0,0
Mahindra Univeg,2016.0,0.0,0
MakeMyTrip,2018.0,0.0,0
MakeMyTrip Innovation Fund,2015.0,0.0,0
Sanjai Vohra,2016.0,0.0,0
Sanjay Bakshi,2016.0,0.0,0
Sanjay Mehta,2016.0,0.0,0
Sanjay Nath,2016.0,0.0,0
Sanjay Notani & Others,2018.0,0.0,0
Sanjay Phophaliya,2016.0,0.0,0
Sarbvir Singh,2016.0,0.0,0
Sargod Ventures,2015.0,0.0,0
Sarvesh Sharma,2016.0,0.0,0
Sashi Reddy,2015.0,0.0,0
Sashwat Brahma,2017.0,0.0,0
Satish Jamdar,2016.0,0.0,0
Satish Kaul,2017.0,0.0,0
Satish Vasudeva,2016.0,0.0,0
Sanjay Verma,2016.0,0.0,0
Sanjeev Mehra,2015.0,0.0,0
Sanjeev Singhal,2016.0,0.0,0
Infosys co-founder Kris Gopalakrishnan,2017.0,0.0,0
Infuse Ventures fund,2015.0,0.0,0
Indian Angel network,2017.0,0.0,0
Indian Angels Network,2016.0,0.0,0
Indian Angels Network,2017.0,0.0,0
Ravi Agarwal,2015.0,0.0,0
Ravi Garkipati,2016.0,0.0,0
Ravi Iyer,2017.0,0.0,0
Ravi Jain,2016.0,0.0,0
Indian Angel Network and other angel investors,2019.0,0.0,0
Saurabh Abichandani,2017.0,0.0,0
Saurabh Jain,2015.0,0.0,0
Saurabh Srivastava,2015.0,0.0,0
Saurabh Srivastava,2016.0,0.0,0
Pavan Ongole,2016.0,0.0,0
Pawan Borle,2015.0,0.0,0
Pawan Munjal,2016.0,0.0,0
Paytm,2016.0,0.0,0
Paytm (One97 communications),2015.0,0.0,0
Mandar Mhatre,2017.0,0.0,0
Sanjiv Rai,2016.0,0.0,0
Inc,2016.0,0.0,0
Incubate Fund,2016.0,0.0,0
Satveer Thakral,2017.0,0.0,0
Satya D Sinha,2017.0,0.0,0
Saumya Tandon,2016.0,0.0,0
India Quotient & other investors,2015.0,0.0,0
India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,2019.0,0.0,0
India Ventures,2016.0,0.0,0
IndiaMart,2016.0,0.0,0
Kanwaljit Singh,2016.0,0.0,0
Karan Bajwa,2015.0,0.0,0
Karan Bhagat,2016.0,0.0,0
Rannvijay Singha,2018.0,0.0,0
Rata Tata,2016.0,0.0,0
Ratan Tata,2017.0,0.0,0
Ratheesh Raveendran,2017.0,0.0,0
Imanpreet Singh Arora,2017.0,0.0,0
Impact Investment Holding,2015.0,0.0,0
Pankaj Rungta,2017.0,0.0,0
Manisha Gupta,2015.0,0.0,0
Scadea Solutions Inc,2016.0,0.0,0
Scale Minds,2017.0,0.0,0
Scale Ventures,2016.0,0.0,0
Scale Ventures Funds,2016.0,0.0,0
Alok Mittal,2017.0,0.0,0
Alok Mittal & others,2017.0,0.0,0
Alok Sharma,2015.0,0.0,0
Alok Sharma,2016.0,0.0,0
Alok Srivastava,2017.0,0.0,0
Senovo,2017.0,0.0,0
Alex Chua,2016.0,0.0,0
Inara Capital,2015.0,0.0,0
Alok Goel,2015.0,0.0,0
Alok Goel & others,2015.0,0.0,0
Apoorv Ranjan Sharma,2016.0,0.0,0
Apoorv Ranjan Sharma,2017.0,0.0,0
Appliyifi,2016.0,0.0,0
Applyifi,2015.0,0.0,0
Aprameya,2016.0,0.0,0
Incubate Fund,2017.0,0.0,0
Incubate Fund India,2018.0,0.0,0
Incubation Foundation (SIIF),2017.0,0.0,0
India Educational Investment Fund,2015.0,0.0,0
India Educational Investment Fund,2016.0,0.0,0
India Educational Investment Fund,2017.0,0.0,0
India Innovation Fund India Venture Partners,2016.0,0.0,0
Ibibo Group,2015.0,0.0,0
Idea Wave Labs,2016.0,0.0,0
Ramasubramaniam B,2016.0,0.0,0
Ranjan Mahtani,2016.0,0.0,0
Ranjan Pai,2016.0,0.0,0
Khattar Holdings,2016.0,0.0,0
IIT Ropar,2017.0,0.0,0
Shashank Bhagat,2016.0,0.0,0
Shikhar Gupta,2017.0,0.0,0
Shilpa Shetty Kundra,2018.0,0.0,0
Manoj Kumar & Other undisclosed investors,2016.0,0.0,0
Manoj Varghese,2015.0,0.0,0
Manoj Varghese,2016.0,0.0,0
Manpreet Singh,2015.0,0.0,0
Manvinder Singh Banga,2016.0,0.0,0
Parampara Early Stage Opportunities Fund & Others,2017.0,0.0,0
Alexander Bruehl,2017.0,0.0,0
Alok Divatia,2018.0,0.0,0
Shaan,2016.0,0.0,0
Shailesh Haribhakti,2017.0,0.0,0
Shamik Sharma,2017.0,0.0,0
Shantanu Mathur,2016.0,0.0,0
Sharad Sharma,2015.0,0.0,0
Sharad Sharma,2017.0,0.0,0
IIFL,2018.0,0.0,0
Ravi Jaipuria & others,2015.0,0.0,0
Ravi Linganuri,2016.0,0.0,0
Ravi Machani,2016.0,0.0,0
Ravi Sampat,2016.0,0.0,0
Kashyap Deorah,2016.0,0.0,0
Ram Shriram,2016.0,0.0,0
Ramakant Sharma,2017.0,0.0,0
Raman Roy,2016.0,0.0,0
Raman Roy,2017.0,0.0,0
Siddharth Parekh,2015.0,0.0,0
Sidharth Pansari,2017.0,0.0,0
Sidharth Rozario,2017.0,0.0,0
Shiva Gunapu & Others,2018.0,0.0,0
Shivanandan Pare,2015.0,0.0,0
IA Venture Strategies Fund II LP,2017.0,0.0,0
IAN Ventures,2015.0,0.0,0
IDFC-Parampara Fund,2017.0,0.0,0
IDG,2016.0,0.0,0
IDG Ventures & Advantedge fund,2015.0,0.0,0
Horseferry,2017.0,0.0,0
Huang Wei,2017.0,0.0,0
Huzaifa Khorakiwala,2016.0,0.0,0
Apurva Chamaria,2017.0,0.0,0
Apurva Salarpuria,2017.0,0.0,0
Arathi Krishna,2015.0,0.0,0
Hitesh Gupta,2016.0,0.0,0
Hitesh Windlass,2016.0,0.0,0
Hitouch AG,2016.0,0.0,0
Signal Point Partners,2016.0,0.0,0
Silo Holdings and Al Nour,2017.0,0.0,0
Singapore Angels Network,2015.0,0.0,0
Singapore Angels Network & others,2015.0,0.0,0
Shopclues,2015.0,0.0,0
Shrem Strategies,2015.0,0.0,0
Shripad Nadkarni,2017.0,0.0,0
Shrishti Sahu,2016.0,0.0,0
Siddharth Agarwal,2016.0,0.0,0
Siddharth Banerjee,2016.0,0.0,0
Siddharth Kothari,2017.0,0.0,0
Siddharth Nautiyal,2015.0,0.0,0
Siddharth Pai,2016.0,0.0,0
Pramod Bhasin,2015.0,0.0,0
Pramod Bhasin,2016.0,0.0,0
Pramod Jain,2018.0,0.0,0
Rakesh Patel,2016.0,0.0,0
Kishor Ganji,2015.0,0.0,0
Sixth Sense Ventures,2016.0,0.0,0
Palaash Ventures,2015.0,0.0,0
Maple Capital Advisors,2016.0,0.0,0
MapmyIndia,2016.0,0.0,0
Marico Innovation Foundation (MIF),2017.0,0.0,0
Mark Mobius & 9 Other Angel investors,2015.0,0.0,0
Hinduja Group,2018.0,0.0,0
Hinduja family,2017.0,0.0,0
Hiro Mashita,2015.0,0.0,0
Hiro Mashita,2016.0,0.0,0
Hiro Mashita,2018.0,0.0,0
Social Alpha,2017.0,0.0,0
Ajeet Khurana,2017.0,0.0,0
Singapore based investor,2017.0,0.0,0
Arjun Mehta,2017.0,0.0,0
Armat Group,2015.0,0.0,0
Singularity Ventures,2016.0,0.0,0
Singularity Ventures,2018.0,0.0,0
Sirion Labs,2017.0,0.0,0
Sixth Sense Ventures,2015.0,0.0,0
Kinnevik Group,2016.0,0.0,0
Kiran Mazumdar-Shaw,2017.0,0.0,0
Kiran Shetty,2017.0,0.0,0
Ranjit Singh,2016.0,0.0,0
Pradeep Reddy Kamasan,2016.0,0.0,0
Pradyumna Dalmia,2016.0,0.0,0
Prakhar Bumb,2015.0,0.0,0
Social Alpha and other unnamed angel investors,2017.0,0.0,0
Social Capital,2018.0,0.0,0
SoftBank Ventures Korea,2016.0,0.0,0
Sohail Hashemi,2018.0,0.0,0
Harinder Takhar,2016.0,0.0,0
MasterCard,2016.0,0.0,0
Mato Peric,2015.0,0.0,0
Mato Peric,2016.0,0.0,0
Mato Peric & Others,2015.0,0.0,0
Matrix Partner,2018.0,0.0,0
Pallav Nadhani,2015.0,0.0,0
Pallav Pandey,2017.0,0.0,0
Pameela P,2017.0,0.0,0
Small Industries Development Bank of India (SIDBI),2017.0,0.0,0
Smarak Bhuyan,2017.0,0.0,0
Snow Leopard Technology Ventures,2016.0,0.0,0
Rajnish Sinha,2016.0,0.0,0
Rajul Garg,2017.0,0.0,0
Rajul Garg & Other undisclosed investors,2017.0,0.0,0
Rajul Garg & Others,2016.0,0.0,0
Sonu Bhasin,2017.0,0.0,0
Soumitra Sharma,2016.0,0.0,0
One97 Communication Ltd,2017.0,0.0,0
One97 Communications,2015.0,0.0,0
Ajit Surana,2015.0,0.0,0
Ajith Nair,2016.0,0.0,0
Ajith Sukumaran,2016.0,0.0,0
Hemang Sahani,2016.0,0.0,0
Herb Madan,2017.0,0.0,0
Akash Bhavsar,2016.0,0.0,0
Akusa Holdings,2016.0,0.0,0
Alagu Periyannan and Karthee Madasamy,2018.0,0.0,0
Harmeet Bajaj,2017.0,0.0,0
Harminder Sahni,2016.0,0.0,0
Harsh Kundra,2017.0,0.0,0
Harsh V. Pant,2017.0,0.0,0
Harvard Angels,2016.0,0.0,0
Healthsquad,2016.0,0.0,0
Soniks Consulting,2016.0,0.0,0
Kludein LLC\\nPhanindra Sama,2016.0,0.0,0
Konglo Ventures,2016.0,0.0,0
Konglo Ventures,2017.0,0.0,0
Korea Investment Partners (KIP),2018.0,0.0,0
Kris Gopalakrishnan,2015.0,0.0,0
Amit Kharbanda,2017.0,0.0,0
Amit Manocha,2017.0,0.0,0
Amit Patni,2016.0,0.0,0
Amit Rambhia & Others,2015.0,0.0,0
StartUp Equity Partners,2016.0,0.0,0
Startup Buddy,2017.0,0.0,0
Startup Oasis,2017.0,0.0,0
Orios Ventures Partners,2017.0,0.0,0
P39 Capital,2016.0,0.0,0
PNC,2018.0,0.0,0
PV Sahad,2017.0,0.0,0
Speridian Technologies,2016.0,0.0,0
HR Fund,2016.0,0.0,0
HT Digital Media Holdings Ltd,2015.0,0.0,0
HT Media,2015.0,0.0,0
Haitong Securities,2017.0,0.0,0
Hamraj Kumar,2016.0,0.0,0
Splice Advisors,2015.0,0.0,0
Springboard Ventures,2015.0,0.0,0
Sprout Angels LLP,2015.0,0.0,0
Anil Gelra,2016.0,0.0,0
Anil Jain,2016.0,0.0,0
Anil Kapoor,2016.0,0.0,0
Anindya Ghose,2017.0,0.0,0
Sprout Capital,2017.0,0.0,0
Sprout Venture Partners and others,2018.0,0.0,0
Sreeram Iyer,2017.0,0.0,0
Sreevathsa Prabhakar,2016.0,0.0,0
Srinath Batni,2015.0,0.0,0
Guy Oseary,2016.0,0.0,0
Gyanendra Singh,2017.0,0.0,0
H C Jain,2016.0,0.0,0
HBM Healthcare Investments,2016.0,0.0,0
HCS Venture capital fund,2016.0,0.0,0
HDFC Bank,2015.0,0.0,0
Stanford Angels & Entrepreneurs,2016.0,0.0,0
GrowthStory,2015.0,0.0,0
Growx Ventures,2015.0,0.0,0
Gujarat Venture Finance Ltd,2017.0,0.0,0
Gulpreet Kohli,2015.0,0.0,0
Gund Investment,2016.0,0.0,0
Ajay Sarupria,2016.0,0.0,0
StartupXseed Ventures,2016.0,0.0,0
Aijaz Saleem,2018.0,0.0,0
Ajay Data,2016.0,0.0,0
Ajay Data & other HNIs,2016.0,0.0,0
Ajay Data & undisclosed HNIs,2016.0,0.0,0
Ajay Lakhotia,2016.0,0.0,0
Ajay Nanavati,2016.0,0.0,0
Ajay Piramal,2016.0,0.0,0
Anil Advani,2018.0,0.0,0
Anil Chopra,2015.0,0.0,0
Krishna Jhunjhunwaala,2016.0,0.0,0
Krishna Jhunjhunwala,2016.0,0.0,0
Krishna Mehra,2016.0,0.0,0
Krit Sankalp,2017.0,0.0,0
Sudhakar Pennam,2018.0,0.0,0
Sujal Shah,2016.0,0.0,0
Sujeet Kumar,2015.0,0.0,0
Aniruddha Malpani,2017.0,0.0,0
Anirudh Damani,2015.0,0.0,0
Matt Glickman,2016.0,0.0,0
Matt Mullenweg,2016.0,0.0,0
Max Ventures and Industries,2016.0,0.0,0
Mayank Singhal,2015.0,0.0,0
Mayank Singhal and others,2015.0,0.0,0
Ajay Relan,2016.0,0.0,0
GrowX,2018.0,0.0,0
Sundaram Finance Holdings,2017.0,0.0,0
Subodh Gupta,2015.0,0.0,0
Arun Venkatachalam,2016.0,0.0,0
Aruna Ganesh Ram,2016.0,0.0,0
Group of Investors,2015.0,0.0,0
Group of angel investors,2015.0,0.0,0
Subramanya SV,2016.0,0.0,0
Subramanya Venkat,2016.0,0.0,0
Rakesh Gupta,2016.0,0.0,0
Amitpal Bhutani,2015.0,0.0,0
Amod Malviya,2016.0,0.0,0
Amrendra Reddy and Manish Satnaliwala.,2018.0,0.0,0
Rajiv C Mody,2017.0,0.0,0
Rajiv Lunkad,2016.0,0.0,0
Rajiv Mehta,2016.0,0.0,0
Rajiv Mehta,2017.0,0.0,0
Anand Mittal,2016.0,0.0,0
Anand Rajaraman,2015.0,0.0,0
Anand Sankeshwar,2017.0,0.0,0
Meet Kanodia,2017.0,0.0,0
Green Visor Capital LP II,2017.0,0.0,0
Greenfield Advisory,2017.0,0.0,0
Arun Chandra Mohan,2016.0,0.0,0
Arun Duggal,2015.0,0.0,0
Arun Khanna,2016.0,0.0,0
Arun Patodia,2017.0,0.0,0
Arun Seth,2016.0,0.0,0
Arun Tadanki,2015.0,0.0,0
Arun Tadanki,2016.0,0.0,0
Arun Venkatachalam,2015.0,0.0,0
Sumit Dayal and others,2016.0,0.0,0
Sumpoorna Group,2016.0,0.0,0
Gopal Srinivasan,2015.0,0.0,0
Govind Rajan & Others,2017.0,0.0,0
Grace Grace Techno Ventures LLP,2017.0,0.0,0
Grasshoppers,2016.0,0.0,0
Sunergy Investors,2015.0,0.0,0
Sunil Edwards,2015.0,0.0,0
Sunil Kalra,2015.0,0.0,0
Sunil Kalra,2016.0,0.0,0
Sunil Kalra,2017.0,0.0,0
Sunil Koul,2016.0,0.0,0
Sunil Maheshwari & group of investors,2015.0,0.0,0
Sunil Nikhar,2015.0,0.0,0
Sunjay Kapur,2015.0,0.0,0
Sunstone Capital,2016.0,0.0,0
Anand Mahindra,2015.0,0.0,0
Anand Mahindra,2016.0,0.0,0
GirnarSoft,2016.0,0.0,0
Gleevoaz Ventures,2016.0,0.0,0
Globeinvestor,2015.0,0.0,0
Globevestor Angel Fund,2016.0,0.0,0
Goa,2015.0,0.0,0
Gokaldas Exports Ltd,2017.0,0.0,0
Meher Roy,2017.0,0.0,0
Mekin Maheshwar,2016.0,0.0,0
Om Chaudhry,2017.0,0.0,0
Omidiyar Network,2015.0,0.0,0
Omidyar Networks,2016.0,0.0,0
Omidyar Networks,2017.0,0.0,0
Omnivore Partners,2015.0,0.0,0
Suraj Saharan,2017.0,0.0,0
Google,2018.0,0.0,0
Google Capital,2016.0,0.0,0
Prashant Tandon,2016.0,0.0,0
Pratik Seal,2016.0,0.0,0
Rajeev Ahuja,2017.0,0.0,0
Geniee,2016.0,0.0,0
TLabs,2016.0,0.0,0
TM Service Technology Holdings GmbH,2016.0,0.0,0
TM Service Technology Holdings Gmbh,2016.0,0.0,0
TNN Capital & IIG,2015.0,0.0,0
TR Capital,2018.0,0.0,0
Suraj Saharan,2018.0,0.0,0
Suresh Senapaty,2015.0,0.0,0
Suresh Vaswani,2015.0,0.0,0
Surojit Chatterjee,2017.0,0.0,0
Sushil Kumar,2017.0,0.0,0
Sushill Jiwarajka,2017.0,0.0,0
Suvo Sarkar,2017.0,0.0,0
Nspira,2017.0,0.0,0
Menterra Venture & Artha Initiatives,2018.0,0.0,0
Swapan Rajdev,2017.0,0.0,0
Swastika Company Pvt Ltd,2016.0,0.0,0
T V Mohandas Pai,2016.0,0.0,0
T.V. Mohandas Pai,2016.0,0.0,0
Gautam Chhaochharia,2017.0,0.0,0
Gautam Gandhi,2015.0,0.0,0
Gautam Ivatury,2016.0,0.0,0
Kshitij Arora,2017.0,0.0,0
Kshitij Jain,2016.0,0.0,0
Kstart Capital,2017.0,0.0,0
Amit Choudhary,2016.0,0.0,0
Amit Khanna (LetsVenture),2016.0,0.0,0
Prashant Jaiswal,2018.0,0.0,0
Prashant Malik and others,2018.0,0.0,0
Gaurav Luniya,2017.0,0.0,0
Gaurav Munjal,2015.0,0.0,0
Tarun Adlakha,2017.0,0.0,0
Tata Sons,2019.0,0.0,0
Aditya Singh,2017.0,0.0,0
Aditya Vazirani,2017.0,0.0,0
TV Mohandas Pai\\xe2\\x80\\x99s family office,2015.0,0.0,0
TVS Automobile Solutions Ltd,2016.0,0.0,0
TVS Group,2015.0,0.0,0
GardX International,2017.0,0.0,0
Gati Ltd,2016.0,0.0,0
Gaurav Agarwal,2016.0,0.0,0
Gaurav Bhogle,2016.0,0.0,0
Gaurav Dalmia,2015.0,0.0,0
Gaurav Gupta,2015.0,0.0,0
Gaurav Gupta,2017.0,0.0,0
Kumar Vembu,2018.0,0.0,0
Kunal Bahl,2018.0,0.0,0
Kunal Shah & Sandeep Tandon,2016.0,0.0,0
Ganesh Natarajan,2017.0,0.0,0
Team Builder Ventures,2017.0,0.0,0
Telephone Corporation,2016.0,0.0,0
Teru Sato,2015.0,0.0,0
Ashish Gupta,2016.0,0.0,0
MeritTrac,2016.0,0.0,0
Michael Blakey,2015.0,0.0,0
Michael Marks,2016.0,0.0,0
Amrish Rau,2018.0,0.0,0
Anand Chandrasekaran,2015.0,0.0,0
Anand Chandrasekaran,2017.0,0.0,0
Anand Chandrasekaran & Others,2016.0,0.0,0
Anand Kumar,2017.0,0.0,0
AdvantEdge,2017.0,0.0,0
Aequs Group,2017.0,0.0,0
Afsal Salu,2015.0,0.0,0
Afsal Salu,2016.0,0.0,0
GWB Group,2015.0,0.0,0
Gagan Goyal,2017.0,0.0,0
Gagan Hasteer,2015.0,0.0,0
Ganesh Natarajan,2016.0,0.0,0
Rajesh Aggarwal,2015.0,0.0,0
Rajesh Sawhney,2016.0,0.0,0
Rajesh Yabaji,2016.0,0.0,0
Rajit Nanda,2017.0,0.0,0
Labruyere Eberl\\xc3\\xa9,2017.0,0.0,0
Lahiri Music\\xe2\\x80\\x99s family office,2017.0,0.0,0
Lalit Mangal & Others,2016.0,0.0,0
Langoor,2017.0,0.0,0
Micromax,2016.0,0.0,0
Micromax Informatics,2015.0,0.0,0
Micromax Informatics Ltd,2015.0,0.0,0
GEMs,2017.0,0.0,0
GEMs Advisory,2016.0,0.0,0
GHV,2016.0,0.0,0
GPA group,2016.0,0.0,0
The Oliver R. Grace,2017.0,0.0,0
The Phoenix Fund,2015.0,0.0,0
The Phoenix Fund and others,2016.0,0.0,0
Adam D\\xe2\\x80\\x99Angelo,2016.0,0.0,0
Adil Allana,2016.0,0.0,0
Aditya Agarwal,2016.0,0.0,0
Aditya Aggarwal,2016.0,0.0,0
Aditya Dev Sood,2015.0,0.0,0
The Saha Fund,2015.0,0.0,0
Raj Gala Shah,2016.0,0.0,0
Raj Singh Bhandal,2016.0,0.0,0
Rajasthan Angel Innovators Network,2016.0,0.0,0
Rajasthan Angel Innovators Network,2017.0,0.0,0
Ashish Goenka & Others,2015.0,0.0,0
Ashish Gupta,2015.0,0.0,0
FreakOut Group,2017.0,0.0,0
Fusiontech Ventures & Others,2017.0,0.0,0
ThinQbate,2017.0,0.0,0
ThirtyThree Investments,2016.0,0.0,0
Thomas Assessments and others,2018.0,0.0,0
Accel Partners & Others,2016.0,0.0,0
Accel Partners & existing investors,2016.0,0.0,0
responsAbility Investments,2015.0,0.0,0
Nitin Garg,2015.0,0.0,0
Nitin Saluja,2017.0,0.0,0
Micromax Informatics Ltd,2018.0,0.0,0
Milind Sarwate,2016.0,0.0,0
Nitish Singh,2017.0,0.0,0
Nobel House,2016.0,0.0,0
Barkawi Holdings GmbH,2016.0,0.0,0
Arvind Uppal,2017.0,0.0,0
Aseem Sood,2016.0,0.0,0
Ash Bhardwaj,2015.0,0.0,0
Ashish Dev Kapur,2015.0,0.0,0
Rajat Malhotra,2015.0,0.0,0
Pranav Pai,2016.0,0.0,0
Pranay Adhvaryu,2016.0,0.0,0
Pranay Chulet,2015.0,0.0,0
Prantik Dasgupta,2016.0,0.0,0
Anoop Hingorani,2016.0,0.0,0
Rahul Khanna & Others,2015.0,0.0,0
Ashish Mahajan,2016.0,0.0,0
Ashish Tiwari,2015.0,0.0,0
Ashish Toshniwal,2017.0,0.0,0
G Ravishankar,2017.0,0.0,0
GAIL India Ltd,2017.0,0.0,0
GAIN,2016.0,0.0,0
Timbru Ventures,2016.0,0.0,0
Times Group,2016.0,0.0,0
Times Group Brand Capital,2015.0,0.0,0
Fireside Ventures & Others,2016.0,0.0,0
Flipkart,2016.0,0.0,0
Founders Fund,2017.0,0.0,0
Foxconn Technology Group & Others,2016.0,0.0,0
Francesco Cara,2017.0,0.0,0
Tom Varkey,2017.0,0.0,0
Tracxn,2015.0,0.0,0
Faraz Khan,2016.0,0.0,0
Farhaan Shabbir,2017.0,0.0,0
Accel Partner,2015.0,0.0,0
Triton Investment Advisors,2017.0,0.0,0
Tracxn Labs,2018.0,0.0,0
Tracxn Syndicate,2015.0,0.0,0
Tracxn Syndicate,2016.0,0.0,0
TracxnLabs,2015.0,0.0,0
TracxnLabs,2016.0,0.0,0
Farooq Adam,2016.0,0.0,0
Farooq Oomerbhoy,2016.0,0.0,0
Fauzan Rahim,2016.0,0.0,0
FiNC,2016.0,0.0,0
Fireside Ventures,2016.0,0.0,0
Ashish Gupta and other undisclosed investors,2016.0,0.0,0
Ashish Hemrajani,2015.0,0.0,0
Pravin Agarwala & others,2015.0,0.0,0
Premji Invest & Mayfield Fund,2015.0,0.0,0
Rahul Gupta,2017.0,0.0,0
Uday Shankar,2015.0,0.0,0
Umang Kumar,2015.0,0.0,0
Umang Kumar & Others,2016.0,0.0,0
Umang Moondra,2017.0,0.0,0
Umasankar Nistala,2016.0,0.0,0
Umesh Yadav,2015.0,0.0,0
Traxcn Labs,2015.0,0.0,0
Treebo,2018.0,0.0,0
Tribe Impact Capital LLP,2018.0,0.0,0
Abhishekh Goyal,2015.0,0.0,0
Extreme Venture Partners\\xc2\\xa0 William Bissell,2015.0,0.0,0
FIH Mobile Ltd,2015.0,0.0,0
Fairfax Holdings,2017.0,0.0,0
Mobikon,2016.0,0.0,0
Uber Technologies Inc,2017.0,0.0,0
Uday Kotak,2017.0,0.0,0
Uday Punj,2015.0,0.0,0
Exfinity Venture Partners & Others,2016.0,0.0,0
Exfinity Ventures,2016.0,0.0,0
Existing & New Investors,2015.0,0.0,0
Rajasthan Angel Investor Network,2017.0,0.0,0
Rajasthan Venture Capital Fund,2017.0,0.0,0
LN Buddharaju,2017.0,0.0,0
LV Prasad,2016.0,0.0,0
MCube Capital Advisors Pvt Ltd,2016.0,0.0,0
MCube8,2016.0,0.0,0
MadhanKumar Madathupalayam,2016.0,0.0,0
Praveen Dubey,2017.0,0.0,0
Praveen Saini,2016.0,0.0,0
Raghu Vohra,2015.0,0.0,0
Rahul Agarwalla,2017.0,0.0,0
Eagle10 Ventures,2017.0,0.0,0
Earlsfield Capital,2015.0,0.0,0
East Ventures & Others,2017.0,0.0,0
Edelweiss Financial Services,2016.0,0.0,0
Undisclosed Angel investors & HNIs,2016.0,0.0,0
